id,c_claveunidad,nombre
catalogos_clave_unidad528,D28,sifón
catalogos_clave_unidad529,D29,Terahertz
catalogos_clave_unidad530,D30,Terajoule
catalogos_clave_unidad531,D31,Terawatt
catalogos_clave_unidad532,D32,Terawatt hora 
catalogos_clave_unidad533,D33,Tesla
catalogos_clave_unidad534,D34,Tex
catalogos_clave_unidad535,D35,Calorías (termoquímicas)
catalogos_clave_unidad536,D36,Megabit
catalogos_clave_unidad537,D37,Calorías (termoquímicas) por gramo de kelvin
catalogos_clave_unidad538,D38,Calorías (termoquímicas) por segundo centímetro kelvin
catalogos_clave_unidad539,D39,Calorías (termoquímicas) por segundo centímetro cuadrado kelvin
catalogos_clave_unidad540,D40,Mil litros
catalogos_clave_unidad541,D41,Tonelada por metro cúbico
catalogos_clave_unidad542,D42,Año tropical
catalogos_clave_unidad543,D43,Unidad de masa atómica unificada
catalogos_clave_unidad544,D44,Var
catalogos_clave_unidad545,D45,Voltio cuadrado por kelvin cuadrado
catalogos_clave_unidad546,D46,Voltioio-amperio
catalogos_clave_unidad547,D47,Voltio por centímetro
catalogos_clave_unidad548,D48,Voltio por Kelvin 
catalogos_clave_unidad549,D49,Millivoltio por Kelvin 
catalogos_clave_unidad550,D5,Kilogramo por centímetro cuadrado
catalogos_clave_unidad551,D50,Voltio por metro
catalogos_clave_unidad552,D51,Voltio por milímetro
catalogos_clave_unidad553,D52,Watt por kelvin
catalogos_clave_unidad554,D53,Watt por metro kelvin
catalogos_clave_unidad555,D54,Watt por metro cuadrado
catalogos_clave_unidad556,D55,Watt por metro cuadrado kelvin
catalogos_clave_unidad557,D56,Watt por metro cuadrado kelvin a la cuarta potencia
catalogos_clave_unidad558,D57,Watt por estereorradián
catalogos_clave_unidad559,D58,Watt por estereorradián metro cuadrado
catalogos_clave_unidad560,D59,Weber por metro
catalogos_clave_unidad561,D6,Roentgen por segundo
catalogos_clave_unidad562,D60,Weber por milímetro
catalogos_clave_unidad563,D61,Minuto [unidad de ángulo]
catalogos_clave_unidad564,D62,Segundo [unidad de ángulo]
catalogos_clave_unidad565,D63,Libro
catalogos_clave_unidad566,D64,bloquear
catalogos_clave_unidad567,D65,Redondo
catalogos_clave_unidad568,D66,casete
catalogos_clave_unidad569,D67,Dólar por hora
catalogos_clave_unidad570,D68,Número de palabras
catalogos_clave_unidad571,D69,Pulgada a la cuarta potencia
catalogos_clave_unidad572,D7,Sandwich
catalogos_clave_unidad573,D70,Calorías (tabla internacional)
catalogos_clave_unidad574,D71,Calorías (tabla internacional) por segundo centímetro kelvin
catalogos_clave_unidad575,D72,Calorías (tabla internacional) por segundo centímetro cuadrado kelvin
catalogos_clave_unidad576,D73,Joule metro cuadrado
catalogos_clave_unidad577,D74,Kilogramo por Mol
catalogos_clave_unidad578,D75,Calorías (tabla internacional) por gramo
catalogos_clave_unidad579,D76,Calorías (tabla internacional) por gramo de kelvin
catalogos_clave_unidad580,D77,MegaCulombio
catalogos_clave_unidad581,D78,Megajoule por segundo
catalogos_clave_unidad582,D79,Viga
catalogos_clave_unidad583,D8,Draize score
catalogos_clave_unidad584,D80,Microwatt
catalogos_clave_unidad585,D81,Microtesla
catalogos_clave_unidad586,D82,Microvoltio
catalogos_clave_unidad587,D83,Milinewton metro
catalogos_clave_unidad588,D85,Microwatt por metro cuadrado
catalogos_clave_unidad589,D86,MiliCulombio
catalogos_clave_unidad590,D87,MiliMol por kilogramo
catalogos_clave_unidad591,D88,MiliCulombio por metro cúbico
catalogos_clave_unidad592,D89,MiliCulombio por metro cuadrado
catalogos_clave_unidad593,D9,Dyne por centímetro cuadrado
catalogos_clave_unidad594,D90,Metro cúbico (neta)
catalogos_clave_unidad595,D91,Rem
catalogos_clave_unidad596,D92,banda
catalogos_clave_unidad597,D93,Segundo por metro cúbico
catalogos_clave_unidad598,D94,Segundo por metro cúbico Radian
catalogos_clave_unidad599,D95,Joule por gramo
catalogos_clave_unidad600,D96,Libra bruta
catalogos_clave_unidad601,D98,Libra masiva
catalogos_clave_unidad602,D99,manga
catalogos_clave_unidad603,DAA,Decar
catalogos_clave_unidad604,DAD,Decena de días
catalogos_clave_unidad605,DAY,Día
catalogos_clave_unidad606,DB,Libra seca
catalogos_clave_unidad607,DC,Disco (disco)
catalogos_clave_unidad608,DD,Grado [unidad de ángulo]
catalogos_clave_unidad609,DE,Acuerdo
catalogos_clave_unidad610,DEC,Década
catalogos_clave_unidad611,DG,Decigramo
catalogos_clave_unidad612,DI,dispensador
catalogos_clave_unidad613,DJ,Decagramo
catalogos_clave_unidad614,DLT,Decilitro
catalogos_clave_unidad615,DMA,Decámetro cúbico
catalogos_clave_unidad616,DMK,Decímetro cuadrado 
catalogos_clave_unidad617,DMO,Kiloliter norma
catalogos_clave_unidad618,DMQ,Decímetro cúbico
catalogos_clave_unidad619,DMT,Decímetro
catalogos_clave_unidad620,DN,Decinewton metro
catalogos_clave_unidad621,DPC,Docenas de piezas
catalogos_clave_unidad622,DPR,Docenas de pares
catalogos_clave_unidad623,DPT,Peso de desplazamiento
catalogos_clave_unidad624,DQ,registro de datos
catalogos_clave_unidad625,DRA,Dram (EUA)
catalogos_clave_unidad626,DRI,Dram (UK)
catalogos_clave_unidad627,DRL,Docena de rodillos
catalogos_clave_unidad628,DRM,Drachm (UK)
catalogos_clave_unidad629,DS,monitor
catalogos_clave_unidad630,DT,Tonelada seca
catalogos_clave_unidad631,DTN,Decitonelada métrica
catalogos_clave_unidad632,DU,dina
catalogos_clave_unidad633,DWT,Pennyweight
catalogos_clave_unidad634,Dx,Dyne por centímetro
catalogos_clave_unidad635,DY,Libro de directorio
catalogos_clave_unidad636,DZN,Docena
catalogos_clave_unidad637,DZP,Docena de paquete
catalogos_clave_unidad638,E01,Newton por centímetro cuadrado
catalogos_clave_unidad639,E07,Megawatt hora por hora
catalogos_clave_unidad640,E08,Megavatios por hertz
catalogos_clave_unidad641,E09,Miliamperio hora
catalogos_clave_unidad642,E10,Día de grado
catalogos_clave_unidad643,E11,Gigacalorie
catalogos_clave_unidad644,E12,Mille
catalogos_clave_unidad645,E14,Kilocaloría (tabla internacional)
catalogos_clave_unidad646,E15,Kilocaloría (termoquímica) por hora
catalogos_clave_unidad647,E16,Millón de btu (ti) por hora
catalogos_clave_unidad648,E17,Pie cúbico por segundo
catalogos_clave_unidad649,E18,Tonelada por hora
catalogos_clave_unidad650,E19,Ping
catalogos_clave_unidad651,E20,Megabit por segundo
catalogos_clave_unidad652,E21,Shares
catalogos_clave_unidad653,E22,Tue
catalogos_clave_unidad654,E23,Neumático
catalogos_clave_unidad655,E25,Unidad activa
catalogos_clave_unidad656,E27,Dosis
catalogos_clave_unidad657,E28,Tonelada seca de aire
catalogos_clave_unidad658,E3,remolque
catalogos_clave_unidad659,E30,Hebra
catalogos_clave_unidad660,E31,Metro cuadrado por litro
catalogos_clave_unidad661,E32,Litros por hora
catalogos_clave_unidad662,E33,Por mil pies
catalogos_clave_unidad663,E34,Gigabyte
catalogos_clave_unidad664,E35,Terabyte
catalogos_clave_unidad665,E36,Petabyte
catalogos_clave_unidad666,E37,Pixel
catalogos_clave_unidad667,E38,Megapíxeles
catalogos_clave_unidad668,E39,Puntos por pulgada
catalogos_clave_unidad669,E4,Kilo bruto
catalogos_clave_unidad670,E40,Parte por cien mil
catalogos_clave_unidad671,E41,Kilogramo-fuerza por milímetro cuadrado
catalogos_clave_unidad672,E42,Kilogramo-fuerza por centímetro cuadrado
catalogos_clave_unidad673,E43,Joule por centímetro cuadrado
catalogos_clave_unidad674,E44,Metros kilogramo-fuerza por centímetro cuadrado
catalogos_clave_unidad675,E45,MiliOhm
catalogos_clave_unidad676,E46,Kilovatio hora por metro cúbico
catalogos_clave_unidad677,E47,Kilovatio hora por kelvin
catalogos_clave_unidad678,E48,Unidad de servicio
catalogos_clave_unidad679,E49,Día de trabajo
catalogos_clave_unidad680,E5,Tonelada métrica larga
catalogos_clave_unidad681,E50,Unidad de cuenta
catalogos_clave_unidad682,E51,Trabajo
catalogos_clave_unidad683,E52,Run foot
catalogos_clave_unidad684,E53,Prueba
catalogos_clave_unidad685,E54,Viaje
catalogos_clave_unidad686,E55,Utilizar
catalogos_clave_unidad687,E56,Bien
catalogos_clave_unidad688,E57,Zona
catalogos_clave_unidad689,E58,Exabit por segundo
catalogos_clave_unidad690,E59,Exbibyte
catalogos_clave_unidad691,E60,Pebibyte
catalogos_clave_unidad692,E61,Tebibyte
catalogos_clave_unidad693,E62,Gibibyte
catalogos_clave_unidad694,E63,Mebibyte
catalogos_clave_unidad695,E64,Kibibyte
catalogos_clave_unidad696,E65,Exbibit por metro
catalogos_clave_unidad697,E66,Exbibit por metro cuadrado
catalogos_clave_unidad698,E67,Exbibit por metro cúbico
catalogos_clave_unidad699,E68,Gigabyte por segundo
catalogos_clave_unidad700,E69,Gibibit por metro
catalogos_clave_unidad701,E70,Gibibit por metro cuadrado
catalogos_clave_unidad702,E71,Gibibit por metro cúbico
catalogos_clave_unidad703,E72,Kibibit por metro
catalogos_clave_unidad704,E73,Kibibit por metro cuadrado
catalogos_clave_unidad705,E74,Kikibit por metro cúbico.
catalogos_clave_unidad706,E75,Mebbit por metro.
catalogos_clave_unidad707,E76,Mebbitt por metro cuadrado.
catalogos_clave_unidad708,E77,Mebbit por metro cúbico. 
catalogos_clave_unidad709,E78,Petabit
catalogos_clave_unidad710,E79,Pebibit por segundo.
catalogos_clave_unidad711,E80,Pebibit por metro.
catalogos_clave_unidad712,E81,Pebibit por metro cuadrado.
catalogos_clave_unidad713,E82,Pebibit por metro cúbico.
catalogos_clave_unidad714,E83,Tebibit.
catalogos_clave_unidad715,E84,Tebibit por segundo
catalogos_clave_unidad716,E85,Tebibit por metro.
catalogos_clave_unidad717,E86,Tebibit por metro cúbico.
catalogos_clave_unidad718,E87,Tebibit por metro cuadrado
catalogos_clave_unidad719,E88,Bit por metro
catalogos_clave_unidad720,E89,Bit por metro cuadrado
catalogos_clave_unidad721,E90,Centímetro recíproco
catalogos_clave_unidad722,E91,Día recíproco
catalogos_clave_unidad723,E92,Decímetro cúbico por hora
catalogos_clave_unidad724,E93,Kilogramo por hora
catalogos_clave_unidad725,E94,KiloMol por segundo
catalogos_clave_unidad726,E95,Mol por segundo
catalogos_clave_unidad727,E96,Grado por segundo
catalogos_clave_unidad728,E97,Mililitro por gadro celsius metro
catalogos_clave_unidad729,E98,Grado celsius por kelvin
catalogos_clave_unidad730,E99,Hectopascal por bar
catalogos_clave_unidad731,EA,Elemento
catalogos_clave_unidad732,EB,Casilla de correo electrónico
catalogos_clave_unidad733,EP,Paquete de once
catalogos_clave_unidad734,EQ,Galón equivalente
catalogos_clave_unidad735,F01,Bit por metro cúbico
catalogos_clave_unidad736,F02,Kelvin por kelvin
catalogos_clave_unidad737,F03,Kilopascal por bar
catalogos_clave_unidad738,F04,Milibar por bar
catalogos_clave_unidad739,F05,Megapascal por bar
catalogos_clave_unidad740,F06,Poise por bar
catalogos_clave_unidad741,F07,Pascal por bar
catalogos_clave_unidad742,F08,Miliamperio por pulgada
catalogos_clave_unidad743,F1,Mil pies cúbicos por día
catalogos_clave_unidad744,F10,Kelvin por hora
catalogos_clave_unidad745,F11,Kelvin por minuto
catalogos_clave_unidad746,F12,Kelvin por segundo
catalogos_clave_unidad747,F13,Slug
catalogos_clave_unidad748,F14,Gramo por kelvin
catalogos_clave_unidad749,F15,Kilogramo por kelvin
catalogos_clave_unidad750,F16,Miligramo por kelvin
catalogos_clave_unidad751,F17,Libra fuerza por pie
catalogos_clave_unidad752,F18,Kilogramo centímetro cuadrado
catalogos_clave_unidad753,F19,Kilogramo milimetro cuadrado
catalogos_clave_unidad754,F20,Libra pulgada cuadrada
catalogos_clave_unidad755,F21,Libra fuerza pulgada
catalogos_clave_unidad756,F22,Libra fuerza por pie entre amperio
catalogos_clave_unidad757,F23,Gramo por decímetro cúbico
catalogos_clave_unidad758,F24,Kilogramo por kiloMol
catalogos_clave_unidad759,F25,Gramo por hertz
catalogos_clave_unidad760,F26,Gramo por día
catalogos_clave_unidad761,F27,Gramo por hora
catalogos_clave_unidad762,F28,Gramo por minuto
catalogos_clave_unidad763,F29,Gramo por segundo
catalogos_clave_unidad764,F30,Kilogramo por día
catalogos_clave_unidad765,F31,Kilogramo por minuto
catalogos_clave_unidad766,F32,Miligramo por dia
catalogos_clave_unidad767,F33,Miligramo por minuto
catalogos_clave_unidad768,F34,Miligramo por segundo
catalogos_clave_unidad769,F35,Gramo por día kelvin
catalogos_clave_unidad770,F36,Gramo por hora kelvin
catalogos_clave_unidad771,F37,Gramo por minuto kelvin
catalogos_clave_unidad772,F38,Gramo por segundo kelvin
catalogos_clave_unidad773,F39,Kilogramo por día kelvin
catalogos_clave_unidad774,F40,Kilogramo por hora kelvin
catalogos_clave_unidad775,F41,Kilogramo por minuto kelvin
catalogos_clave_unidad776,F42,Kilogramo por segundo kelvin
catalogos_clave_unidad777,F43,Miligramo por día kelvin
catalogos_clave_unidad778,F44,Miligramo por hora kelvin
catalogos_clave_unidad779,F45,Miligramo por minuto kelvin
catalogos_clave_unidad780,F46,Miligramo por segundo kelvin
catalogos_clave_unidad781,F47,Newton por milímetro
catalogos_clave_unidad782,F48,Libra fuerza por pulgada
catalogos_clave_unidad783,F49,Rod (Unidad de distancia)
catalogos_clave_unidad784,F50,Micrómetro por kelvin
catalogos_clave_unidad785,F51,Centímetro por kelvin
catalogos_clave_unidad786,F52,Metro por kelvin
catalogos_clave_unidad787,F53,Mililitro por kelvin
catalogos_clave_unidad788,F54,MiliOhm por metro
catalogos_clave_unidad789,F55,Ohm por milla (milla estatal)
catalogos_clave_unidad790,F56,Ohm por kilómetro
catalogos_clave_unidad791,F57,Miliamperio por libra-fuerza por pulgada cuadrada
catalogos_clave_unidad792,F58,Bar recíproco
catalogos_clave_unidad793,F59,Miliamperio por bar
catalogos_clave_unidad794,F60,Grado celsius por bar
catalogos_clave_unidad795,F61,Kelvin por bar
catalogos_clave_unidad796,F62,Gramo por día bar
catalogos_clave_unidad797,F63,Gramo por hora bar
catalogos_clave_unidad798,F64,Gramo por minuto bar
catalogos_clave_unidad799,F65,Gramo por segundo bar
catalogos_clave_unidad800,F66,Kililogramo por día bar
catalogos_clave_unidad801,F67,Kilogramo por hora bar
catalogos_clave_unidad802,F68,Kilogramo por minuto bar
catalogos_clave_unidad803,F69,Kilogramo por segundo bar
catalogos_clave_unidad804,F70,Miligramo por día bar
catalogos_clave_unidad805,F71,Miligramo por hora bar
catalogos_clave_unidad806,F72,Miligramo por minuto bar
catalogos_clave_unidad807,F73,Miligramo por segundo bar
catalogos_clave_unidad808,F74,Gramo por bar
catalogos_clave_unidad809,F75,Miligramo por bar
catalogos_clave_unidad810,F76,Miliamperio por milímetro
catalogos_clave_unidad811,F77,Pascal segundo por kelvin
catalogos_clave_unidad812,F78,Pulgada de agua
catalogos_clave_unidad813,F79,Pulgada de mercurio
catalogos_clave_unidad814,F80,Caballos de fuerza de agua
catalogos_clave_unidad815,F81,Bar por kelvin
catalogos_clave_unidad816,F82,Hectopascal por kelvin
catalogos_clave_unidad817,F83,Kilopascal por kelvin
catalogos_clave_unidad818,F84,Milibar por kelvin
catalogos_clave_unidad819,F85,Megapascal por kelvin
catalogos_clave_unidad820,F86,Poise por kelvin
catalogos_clave_unidad821,F87,Voltio por litro minuto
catalogos_clave_unidad822,F88,Newton centímetro
catalogos_clave_unidad823,F89,Newton metro por grados
catalogos_clave_unidad824,F9,Fibra por centímetro cúbico de aire
catalogos_clave_unidad825,F90,Newton metro por amperio
catalogos_clave_unidad826,F91,Bar litro por segundo
catalogos_clave_unidad827,F92,Bar metro cúbico por segundo
catalogos_clave_unidad828,F93,Hectopascal litro por segundo
catalogos_clave_unidad829,F94,Hectopascal metro cúbico por segundo
catalogos_clave_unidad830,F95,Milibar litro por segundo
catalogos_clave_unidad831,F96,Milibar metro cúbico por segundo
catalogos_clave_unidad832,F97,Megapascal litro por segundo
catalogos_clave_unidad833,F98,Megapascal metro cúbico por segundo
catalogos_clave_unidad834,F99,Pascal litro por segundo
catalogos_clave_unidad835,FAH,Grado fahrenheit
catalogos_clave_unidad836,FAR,Farad
catalogos_clave_unidad837,FB,campo
catalogos_clave_unidad838,FBM,Medidor de fibra
catalogos_clave_unidad839,FC,Mil pies cúbicos
catalogos_clave_unidad840,FD,Millones de partículas por pie cúbico
catalogos_clave_unidad841,FE,Pie de pista
catalogos_clave_unidad842,FF,Cien metros cúbicos
catalogos_clave_unidad843,FG,Parche transdérmico
catalogos_clave_unidad844,FH,MicroMol
catalogos_clave_unidad845,FIT,Fallas en el tiempo
catalogos_clave_unidad846,FL,Flake ton
catalogos_clave_unidad847,FM,Millones de pies cúbicos
catalogos_clave_unidad848,FOT,Pie
catalogos_clave_unidad849,FP,Libra por pie cuadrado
catalogos_clave_unidad850,FR,Pie por minuto
catalogos_clave_unidad851,FS,Pie por segundo
catalogos_clave_unidad852,FTK,Pie cuadrado
catalogos_clave_unidad853,FTQ,Pie cúbico
catalogos_clave_unidad854,G01,Pascal metro cúbico por segundo
catalogos_clave_unidad855,G04,Centímetro por bar
catalogos_clave_unidad856,G05,Metro por bar 
catalogos_clave_unidad857,G06,Milímetro por bar 
catalogos_clave_unidad858,G08,Pulgada cuadrada por segundo
catalogos_clave_unidad859,G09,Metro cuadrado por segundo kelvin
catalogos_clave_unidad860,G10,Stokes por kelvin
catalogos_clave_unidad861,G11,Gramo por centímetro cúbico bar
catalogos_clave_unidad862,G12,Gramo por decímetro cúbico bar
catalogos_clave_unidad863,G13,Gramo por litro bar
catalogos_clave_unidad864,G14,Gramo por metro cúbico bar
catalogos_clave_unidad865,G15,Gramo por mililitro bar
catalogos_clave_unidad866,G16,Kilogramo por centímetro cúbico bar
catalogos_clave_unidad867,G17,Kilogramo por litro bar
catalogos_clave_unidad868,G18,Kilogramo por metro cúbico bar
catalogos_clave_unidad869,G19,Newton metro por kilogramo
catalogos_clave_unidad870,G2,Galón (EUA) por minuto
catalogos_clave_unidad871,G20,Libra-fuerza pie por libra
catalogos_clave_unidad872,G21,Taza (unidad de volumen)
catalogos_clave_unidad873,G23,Peck
catalogos_clave_unidad874,G24,Cucharada (estados unidos)
catalogos_clave_unidad875,G25,Cucharilla (estados unidos)
catalogos_clave_unidad876,G26,Estere
catalogos_clave_unidad877,G27,Centímetro cúbico por kelvin
catalogos_clave_unidad878,G28,Litro por kelvin
catalogos_clave_unidad879,G29,Metro cúbico por kelvin
catalogos_clave_unidad880,G3,Galón (RU) por minuto
catalogos_clave_unidad881,G30,Mililitro por klevin
catalogos_clave_unidad882,G31,Kilogramo por centímetro cúbico
catalogos_clave_unidad883,G32,Onza (avoirdupois) por yarda cúbica
catalogos_clave_unidad884,G33,Gramo por centímetro cúbico kelvin
catalogos_clave_unidad885,G34,Gramo por decímetro cúbico kelvin
catalogos_clave_unidad886,G35,Gramo por litro kelvin
catalogos_clave_unidad887,G36,Gramo por metro cúbico kelvin
catalogos_clave_unidad888,G37,Gramo por mililitro kelvin
catalogos_clave_unidad889,G38,Kilogramo por centímetro cúbico kelvin
catalogos_clave_unidad890,G39,Kilogramo por litro kelvin
catalogos_clave_unidad891,G40,Kilogramo por metro cúbico kelvin
catalogos_clave_unidad892,G41,Metro cuadrado por segundo bar
catalogos_clave_unidad893,G42,Microsiemens por centímetro
catalogos_clave_unidad894,G43,Microsiemens por metro
catalogos_clave_unidad895,G44,Nanosiemens por centímetro
catalogos_clave_unidad896,G45,Nanosiemens por metro
catalogos_clave_unidad897,G46,Stokes por bar
catalogos_clave_unidad898,G47,Centímetro cúbico por día
catalogos_clave_unidad899,G48,Centímetro cúbico por hora
catalogos_clave_unidad900,G49,Centímetro cúbico por minuto
catalogos_clave_unidad901,G50,Galón por hora
catalogos_clave_unidad902,G51,Litro por segundo
catalogos_clave_unidad903,G52,Metro cúbico por día
catalogos_clave_unidad904,G53,Metro cúbico por minuto
catalogos_clave_unidad905,G54,Mililitro por día
catalogos_clave_unidad906,G55,Mililitro por hora
catalogos_clave_unidad907,G56,Pulgada cúbica por hora
catalogos_clave_unidad908,G57,Pulgada cúbica por minuto
catalogos_clave_unidad909,G58,Pulgada cúbica por segundo
catalogos_clave_unidad910,G59,Miliamperio por litro minuto
catalogos_clave_unidad911,G60,Voltio por bar
catalogos_clave_unidad912,G61,Centímetro cúbico por día kelvin
catalogos_clave_unidad913,G62,Centímetro cúbico por hora kelvin
catalogos_clave_unidad914,G63,Centímetro cúbico por minuto kelvin
catalogos_clave_unidad915,G64,Centímetro cúbico por segundo kelvin
catalogos_clave_unidad916,G65,Litro por día kelvin
catalogos_clave_unidad917,G66,Litro por hora kelvin
catalogos_clave_unidad918,G67,Litro por minuto kelvin
catalogos_clave_unidad919,G68,Litro por segundo kelvin
catalogos_clave_unidad920,G69,Metro cúbico por día kelvin
catalogos_clave_unidad921,G7,Hoja de microficha
catalogos_clave_unidad922,G70,Metro cúbico por hora kelvin
catalogos_clave_unidad923,G71,Metro cúbico por minuto kelvin
catalogos_clave_unidad924,G72,Metro cúbico por segundo kelvin
catalogos_clave_unidad925,G73,Mililitro por día kelvin
catalogos_clave_unidad926,G74,Mililitro por hora kelvin
catalogos_clave_unidad927,G75,Mililitro por minuto kelvin
catalogos_clave_unidad928,G76,Mililitro por segundo kelvin
catalogos_clave_unidad929,G77,Milímetro a la cuarta potencia 
catalogos_clave_unidad930,G78,Centímetro cúbico por día bar
catalogos_clave_unidad931,G79,Centímetro cúbico por hora bar
catalogos_clave_unidad932,G80,Centímetro cúbico por minuto bar
catalogos_clave_unidad933,G81,Centímetro cúbico por segundo bar
catalogos_clave_unidad934,G82,Litro por día bar
catalogos_clave_unidad935,G83,Litro por hora bar
catalogos_clave_unidad936,G84,Litro por minuto bar
catalogos_clave_unidad937,G85,Litro por segundo bar
catalogos_clave_unidad938,G86,Metro cúbico por día bar
catalogos_clave_unidad939,G87,Metro cúbico por hora bar
catalogos_clave_unidad940,G88,Metro cúbico por minuto bar
catalogos_clave_unidad941,G89,Metro cúbico por segundo bar
catalogos_clave_unidad942,G90,Mililitro por día bar
catalogos_clave_unidad943,G91,Mililitro por hora bar
catalogos_clave_unidad944,G92,Mililitro por minuto bar
catalogos_clave_unidad945,G93,Mililitro por segundo bar
catalogos_clave_unidad946,G94,Centímetro cúbico por bar
catalogos_clave_unidad947,G95,Litro por bar
catalogos_clave_unidad948,G96,Metro cúbico por bar
catalogos_clave_unidad949,G97,Mililitro por bar 
catalogos_clave_unidad950,G98,Micro henry por kiloOhm
catalogos_clave_unidad951,G99,Micro henry por Ohm
catalogos_clave_unidad952,GB,Galón (EUA) por día
catalogos_clave_unidad953,GBQ,Gigabecquerel
catalogos_clave_unidad954,GC,Gramo por 100 gramos
catalogos_clave_unidad955,Gd,Barril bruto
catalogos_clave_unidad956,GDW,"Gramo, peso seco"
catalogos_clave_unidad957,GE,Libra por galón (EUA)
catalogos_clave_unidad958,GF,Gramo por metro (gramo por 100 centímetros)
catalogos_clave_unidad959,GFI,Gramo de isótopo fisible
catalogos_clave_unidad960,GGR,Grandioso
catalogos_clave_unidad961,GH,Medio galón (US)
catalogos_clave_unidad962,GIA,Gill (us)
catalogos_clave_unidad963,GIC,"Gramo, incluido el contenedor"
catalogos_clave_unidad964,GII,Gill (uk)
catalogos_clave_unidad965,GIP,"Grama, incluido el embalaje interior"
catalogos_clave_unidad966,GJ,Gramo por mililitro
catalogos_clave_unidad967,GK,Gramo por kilogramo
catalogos_clave_unidad968,GL,Gramo por litro
catalogos_clave_unidad969,GLD,Galón seco (EUA)
catalogos_clave_unidad970,GLI,Galón (UK)
catalogos_clave_unidad971,GLL,Galón (EUA)
catalogos_clave_unidad972,GM,Gramo por metro cuadrado
catalogos_clave_unidad973,GN,Galón bruto
catalogos_clave_unidad974,GO,Miligramo por metro cuadrado
catalogos_clave_unidad975,GP,Miligramo por metro cúbico
catalogos_clave_unidad976,GQ,Microgramo por metro cúbico
catalogos_clave_unidad977,GRM,Gramo
catalogos_clave_unidad978,GRN,Grano
catalogos_clave_unidad979,GRO,Gross
catalogos_clave_unidad980,GT,Tonelada bruta
catalogos_clave_unidad981,GV,Gigajoule
catalogos_clave_unidad982,GW,Galón por mil pies cúbicos
catalogos_clave_unidad983,GWH,Gigawatt hora
catalogos_clave_unidad984,GY,Patio grueso
catalogos_clave_unidad985,GZ,Sistema de calibración
catalogos_clave_unidad986,H03,Henry por kiloOhm
catalogos_clave_unidad987,H04,Henry por Ohm
catalogos_clave_unidad988,H05,Milihenry por kiloOhm
catalogos_clave_unidad989,H06,Milihenry por Ohm
catalogos_clave_unidad990,H07,Pascal segundo por bar
catalogos_clave_unidad991,H08,Microbequerel
catalogos_clave_unidad992,H09,Año recíproco
catalogos_clave_unidad993,H1,Media página - electrónica
catalogos_clave_unidad994,H10,Hora recíproca
catalogos_clave_unidad995,H11,Mes recíproco
catalogos_clave_unidad996,H12,Grado celsius por hora
catalogos_clave_unidad997,H13,Grado celsius por minuto
catalogos_clave_unidad998,H14,Grado celsius por segundo
catalogos_clave_unidad999,H15,Centímetro cudrado por gramo
catalogos_clave_unidad1000,H16,Decámetro cuadrado
catalogos_clave_unidad1001,H18,Hectómetro cuadrado
catalogos_clave_unidad1002,H19,Hectómetro cúbico
catalogos_clave_unidad1003,H2,Medio litro
catalogos_clave_unidad1004,H20,Kilómetro cúbico
catalogos_clave_unidad1005,H21,Blanco
catalogos_clave_unidad1006,H22,Voltio pulgada cuadrada por libra fuerza
catalogos_clave_unidad1007,H23,Voltio por pulgada
catalogos_clave_unidad1008,H24,Voltio por microsegundo
catalogos_clave_unidad1009,H25,Por ciento por kelvin
catalogos_clave_unidad1010,H26,Ohm por metro
catalogos_clave_unidad1011,H27,Grado por metro
catalogos_clave_unidad1012,H28,Microfaradio por kilómetro
catalogos_clave_unidad1013,H29,Microgramo por litro
catalogos_clave_unidad1014,H30,Micrómetro cuadrado
catalogos_clave_unidad1015,H31,Amperio por kilogramo
catalogos_clave_unidad1016,H32,Amperio cuadrado segundo
catalogos_clave_unidad1017,H33,Faradio por kilómetro
catalogos_clave_unidad1018,H34,Hertz metro
catalogos_clave_unidad1019,H35,Kelvin metro por watt
catalogos_clave_unidad1020,H36,MegaOhm por kilómetro
catalogos_clave_unidad1021,H37,MegaOhm por metro
catalogos_clave_unidad1022,H38,Megaamperio
catalogos_clave_unidad1023,H39,Megahertz kilómetro
catalogos_clave_unidad1024,H40,Newton por amperio
catalogos_clave_unidad1025,H41,Newton metro watts elevado a la potencia menos 0.5
catalogos_clave_unidad1026,H42,Pascal por metro
catalogos_clave_unidad1027,H43,Siemens por centímetro
catalogos_clave_unidad1028,H44,TeraOhm
catalogos_clave_unidad1029,H45,Voltio segundo por metro
catalogos_clave_unidad1030,H46,Voltio por segundo
catalogos_clave_unidad1031,H47,Watt por metro cúbico
catalogos_clave_unidad1032,H48,Attofarad
catalogos_clave_unidad1033,H49,Centímetro por hora
catalogos_clave_unidad1034,H50,Reciprocidad del centimetro cúbico
catalogos_clave_unidad1035,H51,Decibel per kilometro
catalogos_clave_unidad1036,H52,Decibel per metro
catalogos_clave_unidad1037,H53,Kilogramo por bar
catalogos_clave_unidad1038,H54,Kilogramo por decímetro cúbico kelvin 
catalogos_clave_unidad1039,H55,Kilogramo por decímetro cúbico bar
catalogos_clave_unidad1040,H56,Kilogramo por metro cuadrado segundo
catalogos_clave_unidad1041,H57,Pulgada por dos pi por radián
catalogos_clave_unidad1042,H58,Metro por voltio segundo
catalogos_clave_unidad1043,H59,Metro cuadrado por newton
catalogos_clave_unidad1044,H60,Metro cúbico por metro cúbico
catalogos_clave_unidad1045,H61,Milisiemens por centímetro
