"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria3089","3204170700","Colorantes  pigmentarios:  básicos  precipitados  con  la  siguiente  clasificación  de  ""Colour  Index"": Violeta: 1, 3; Rojo: 81."
"catalogos_fraccionarancelaria3090","3204170800","Pigmentos,  excepto  lo  comprendido  en  las  fracciones  arancelarias  3204.17.01,  3204.17.02, 3204.17.03, 3204.17.04, 3204.17.05, 3204.17.06 y 3204.17.07."
"catalogos_fraccionarancelaria3091","3204171000","Pigmentos orgánicos dispersos en polipropileno en una concentración de 25 a 50%, con índice de fluidez de 30 a 45 g/10 minutos y tamaño de pigmento de 3 a 5 micras."
"catalogos_fraccionarancelaria3092","3204179901","Preparaciones   a   base   de   lo   comprendido   en   los   números   de   identificación   comercial 3204.17.02.00, 3204.17.03.00, 3204.17.04.00, 3204.17.05.00, 3204.17.06.00 y 3204.17.07.00."
"catalogos_fraccionarancelaria3093","3204179999","Los demás."
"catalogos_fraccionarancelaria3094","3204190400","Colorantes  al  azufre  con  la  siguiente  clasificación  de  ""Colour  Index"":  Azul  al  azufre:  1(53235), 3(53235), 7(53440), 13(53450); Azul al azufre leuco: 1(53235), 3(53235), 7(53440), 13(53450), 19;
Café al azufre: 10(53055), 14(53246); Negro al azufre: 1(53185); Negro al azufre leuco: 1(53185), 2(53195), 18; Rojo al azufre: 5(53830); Rojo al azufre leuco: 5(53830), 10(53228)."
"catalogos_fraccionarancelaria3095","3204190600","Colorante  para  alimentos  con  la  siguiente  clasificación  de  ""Colour  Index"":  Amarillo:  3(15985), 4(19140); Rojo: 3(14720), 7(16255), 9(16185), 17."
"catalogos_fraccionarancelaria3096","3204199901","Colorantes solventes con la siguiente clasificación de ""Colour Index"": Amarillo: 45, 47, 83, 98, 144,
145, 163; Azul: 38, 49(50315), 68(61110), 122; Café: 28, 43, 44, 45, 50; Naranja: 41, 54, 60, 62,
63;  Negro:  3(26150),  27,  29,  34(12195),  35,  45;  Rojo: 8,  12,  18,  49(45170:1),  86,  90:1,  91, 92,
111(60505), 122, 124, 127, 132, 135, 218; Verde: 5(59075)."
"catalogos_fraccionarancelaria3097","3204199902","Colorantes solventes, excepto con la siguiente  clasificación de ""Colour Index"": Amarillo: 14, 36, 56, 821; Azul: 36, 56; Naranja: 14; Rojo: 24, 26 y lo comprendido en el número de identificación
comercial 3204.19.99.01."
"catalogos_fraccionarancelaria3098","3204199903","Colorantes   al   azufre,   excepto   lo   comprendido   en   el   número   de   identificación   comercial 3204.19.04.00."
"catalogos_fraccionarancelaria3099","3204199904","Preparación a base de cantaxantina."
"catalogos_fraccionarancelaria3100","3204199905","Preparación a base del éster etílico del ácido beta-8-apocarotenóico."
"catalogos_fraccionarancelaria3101","3204199999","Los demás."
"catalogos_fraccionarancelaria3102","3204200100","Agentes de blanqueo óptico fijables sobre fibra, correspondientes al grupo de ""Colour Index"" de los abrillantadores fluorescentes: 135, 140, 162:1, 179, 179+371, 184, 185, 236, 238, 291, 311,
313, 315, 329, 330, 340, 352, 363, 367+372, 373, 374, 374:1, 376, 378, 381, 393."
"catalogos_fraccionarancelaria3103","3204200200","Agentes  de  blanqueo  óptico  fijables  sobre  fibra,  derivados  del  ácido  diaminoestilbendisulfónico, excepto lo comprendido en la fracción arancelaria 3204.20.01."
"catalogos_fraccionarancelaria3104","3204209900","Los demás."
"catalogos_fraccionarancelaria3105","3204909901","Productos orgánicos sintéticos de los tipos utilizados como ""luminóforos""."
"catalogos_fraccionarancelaria3106","3204909999","Los demás."
"catalogos_fraccionarancelaria3107","3205000200","Lacas  de  aluminio  en  polvo  o  en  dispersión  con  la  siguiente  clasificación  de  ""Colour  Index"": Amarillo    3(15985),    4(19140);    Azul   1(73015),    2(42090);    Rojo    7(16255),    9:    1(16135:1),
14:1(45430:1)."
"catalogos_fraccionarancelaria3108","3205009900","Los demás."
"catalogos_fraccionarancelaria3109","3206110100","Con un contenido de dióxido de titanio superior o igual al 80% en peso, calculado sobre materia seca."
"catalogos_fraccionarancelaria3110","3206199900","Los demás."
"catalogos_fraccionarancelaria3111","3206200100","Pigmentos  inorgánicos  con  la  siguiente  clasificación  de  ""Colour  Index"":  Pigmento  amarillo  34; Pigmento rojo 104."
"catalogos_fraccionarancelaria3112","3206200200","Pigmentos  inorgánicos  con  la  siguiente  clasificación  de  ""Colour  Index"":  Pigmento  amarillo  36; Pigmento verde 15, 17; Pigmento naranja 21."
"catalogos_fraccionarancelaria3113","3206200300","Pigmentos  y  preparaciones  a  base  de  compuestos  de  cromo,  excepto  lo  comprendido  en  las fracciones arancelarias 3206.20.01 y 3206.20.02."
"catalogos_fraccionarancelaria3114","3206410201","Azul de ultramar (Pigmento azul 29)."
"catalogos_fraccionarancelaria3115","3206410299","Los demás."
"catalogos_fraccionarancelaria3116","3206420200","Litopón y demás pigmentos y preparaciones a base de sulfuro de cinc."
"catalogos_fraccionarancelaria3117","3206490100","En  forma  de  dispersiones  concentradas  en  acetato  de  celulosa,  utilizables  para  colorear  en  la masa."
"catalogos_fraccionarancelaria3118","3206490200","En forma de dispersiones concentradas de polietileno, utilizables para colorear en la masa."
"catalogos_fraccionarancelaria3119","3206490300","Pigmentos inorgánicos dispersos en polipropileno en una concentración de 25 a 50%, con índice de fluidez de 30 a 45 g/10 minutos y tamaño del pigmento de 3 a 5 micras."
"catalogos_fraccionarancelaria3120","3206490400","Dispersiones de pigmentos nacarados o perlescentes a base de cristales de carbonato de plomo, con un contenido de sólidos igual o inferior al 65%."
"catalogos_fraccionarancelaria3121","3206490500","Dispersiones de pigmentos nacarados o perlescentes a base de cristales de carbonato de plomo, superior a 85%, en sólidos fijos a 100 grados centígrados."
"catalogos_fraccionarancelaria3122","3206490700","Pigmento azul 27."
"catalogos_fraccionarancelaria3123","3206490800","Pigmentos y preparaciones a base de hexacianoferratos (ferrocianuros o ferricianuros), excepto lo comprendido en la fracción arancelaria 3206.49.07."
"catalogos_fraccionarancelaria3124","3206499901","Pigmentos y preparaciones a base de compuestos de cadmio."
"catalogos_fraccionarancelaria3125","3206499999","Las demás."
"catalogos_fraccionarancelaria3126","3206500100","Polvos fluorescentes para tubos, excepto para los tubos de rayos catódicos, anuncios luminosos, lámparas de vapor de mercurio o luz mixta."
"catalogos_fraccionarancelaria3127","3206509900","Los demás."
"catalogos_fraccionarancelaria3128","3207100200","Pigmentos, opacificantes y colores preparados y preparaciones similares."
"catalogos_fraccionarancelaria3129","3207200100","Esmaltes cerámicos a base de borosilicatos metálicos."
"catalogos_fraccionarancelaria3130","3207209900","Los demás."
"catalogos_fraccionarancelaria3131","3207300100","Abrillantadores (lustres) líquidos y preparaciones similares."
"catalogos_fraccionarancelaria3132","3207400301","Vidrio en polvo o gránulos."
"catalogos_fraccionarancelaria3133","3207400302","Vidrio en escamillas, aun cuando estén coloreadas o plateadas."
"catalogos_fraccionarancelaria3134","3207400399","Los demás."
"catalogos_fraccionarancelaria3135","3208100201","Pinturas o barnices."
"catalogos_fraccionarancelaria3136","3208100299","Los demás."
"catalogos_fraccionarancelaria3137","3208200301","Pinturas     o     barnices,     excepto     los     barnices     a     base     de     resinas     catiónicas     de
dimetilaminoetilmetacrilato o a base de resinas aniónicas del ácido metacrílico reaccionadas con ésteres del ácido metacrílico."
"catalogos_fraccionarancelaria3138","3208200399","Los demás."
"catalogos_fraccionarancelaria3139","3208909900","Los demás."
"catalogos_fraccionarancelaria3140","3209100201","Barnices  a  base  de  resinas  catiónicas  de  dimetilaminoetilmetacrilato  o  a  base,  de  resinas aniónicas del ácido metacrílico reaccionadas con ésteres del ácido metacrílico."
"catalogos_fraccionarancelaria3141","3209100299","Los demás."
"catalogos_fraccionarancelaria3142","3209909900","Los demás."
"catalogos_fraccionarancelaria3143","3210000400","Las  demás  pinturas  y  barnices;  pigmentos  al  agua  preparados  de  los  tipos  utilizados  para  el acabado del cuero."
"catalogos_fraccionarancelaria3144","3211000200","Secativos preparados."
"catalogos_fraccionarancelaria3145","3212100100","Hojas para el marcado a fuego."
"catalogos_fraccionarancelaria3146","3212909901","Pastas  a  base  de  pigmentos  de  aluminio,  molidos,  mezclados  íntimamente  en  un  medio,  no hojeables (""non-leafing""), utilizadas para la fabricación de pinturas."
"catalogos_fraccionarancelaria3147","3212909902","Pastas a base de pigmentos de aluminio, molidos, mezclados íntimamente en un medio, hojeables (""leafing""), utilizadas para la fabricación de pinturas."
"catalogos_fraccionarancelaria3148","3212909999","Los demás."
"catalogos_fraccionarancelaria3149","3213100100","Colores en surtidos."
"catalogos_fraccionarancelaria3150","3213909900","Los demás."
"catalogos_fraccionarancelaria3151","3214100100","Masilla,   cementos   de   resina   y  demás   mástiques,   excepto   lo  comprendido   en   la  fracción arancelaria 3214.10.02; plastes (enduidos) utilizados en pintura."
"catalogos_fraccionarancelaria3152","3214100200","Mástique para soldaduras por puntos."
"catalogos_fraccionarancelaria3153","3214909900","Los demás."
"catalogos_fraccionarancelaria3154","3215110301","Para litografía o mimeógrafo."
"catalogos_fraccionarancelaria3155","3215110302","Presentadas en ""cartuchos intercambiables"" para ""inyección de tinta"", utilizados en las máquinas comprendidas en las subpartidas 8443.31 a 8443.39."
"catalogos_fraccionarancelaria3156","3215110399","Las demás."
"catalogos_fraccionarancelaria3157","3215190200","Para litografía u offset."
"catalogos_fraccionarancelaria3158","3215199901","Presentadas en ""cartuchos intercambiables"" para ""inyección de tinta"", utilizados en las máquinas comprendidas en las subpartidas 8443.31 a 8443.39."
"catalogos_fraccionarancelaria3159","3215199999","Los demás."
"catalogos_fraccionarancelaria3160","3215900200","Tintas a base de mezclas de parafinas o grasas con materias colorantes."
"catalogos_fraccionarancelaria3161","3215900300","Pastas a base de gelatina."
"catalogos_fraccionarancelaria3162","3215909901","De escribir."
"catalogos_fraccionarancelaria3163","3215909999","Las demás."
"catalogos_fraccionarancelaria3164","3301120100","De naranja."
"catalogos_fraccionarancelaria3165","3301130201","De la variedad Citrus limon-L Burm."
"catalogos_fraccionarancelaria3166","3301130299","Los demás."
"catalogos_fraccionarancelaria3167","3301190701","De toronja."
"catalogos_fraccionarancelaria3168","3301190702","De mandarina."
"catalogos_fraccionarancelaria3169","3301190703","De lima, de la variedad Citrus limettoides Tan."
"catalogos_fraccionarancelaria3170","3301190704","De lima, de la variedad Citrus aurantifolia-Christmann Swingle (limón ""mexicano"")."
"catalogos_fraccionarancelaria3171","3301199901","De lima."
"catalogos_fraccionarancelaria3172","3301199999","Los demás."
"catalogos_fraccionarancelaria3173","3301240100","De menta piperita (Mentha piperita)."
"catalogos_fraccionarancelaria3174","3301259900","De las demás mentas."
"catalogos_fraccionarancelaria3175","3301299901","De eucalipto o de nuez moscada."
"catalogos_fraccionarancelaria3176","3301299902","De citronela."
"catalogos_fraccionarancelaria3177","3301299903","De lavanda (espliego) o de lavandín."
"catalogos_fraccionarancelaria3178","3301299999","Los demás."
"catalogos_fraccionarancelaria3179","3301300100","Resinoides."
"catalogos_fraccionarancelaria3180","3301900100","Oleorresinas de extracción, excepto las comprendidas en la fracción arancelaria 3301.90.06."
"catalogos_fraccionarancelaria3181","3301900400","Aguas destiladas aromáticas y soluciones acuosas de aceites esenciales."
"catalogos_fraccionarancelaria3182","3301900500","Alcoholados,  extractos  o  tinturas  derivados  de  la  raíz  de  Rawolfia  heterophila  que  contenga  el alcaloide llamado reserpina."
"catalogos_fraccionarancelaria3183","3301900600","Oleorresinas de extracción, de opio."
"catalogos_fraccionarancelaria3184","3301900701","Terpenos de cedro."
"catalogos_fraccionarancelaria3185","3301900702","Terpenos de toronja."
"catalogos_fraccionarancelaria3186","3301909900","Los demás."
"catalogos_fraccionarancelaria3187","3302100100","Extractos  y  concentrados  de  los  tipos  utilizados  en  la  elaboración  de  bebidas  que  contengan alcohol, a base de sustancias odoríferas."
"catalogos_fraccionarancelaria3188","3302100200","Las  demás  preparaciones  de  los  tipos  utilizados  en  la  elaboración  de  bebidas  que  contengan alcohol, a base de sustancias odoríferas."
"catalogos_fraccionarancelaria3189","3302109900","Los demás."
"catalogos_fraccionarancelaria3190","3302909900","Las demás."
"catalogos_fraccionarancelaria3191","3303000100","Aguas de tocador."
"catalogos_fraccionarancelaria3192","3303009900","Los demás."
"catalogos_fraccionarancelaria3193","3304100100","Preparaciones para el maquillaje de los labios."
"catalogos_fraccionarancelaria3194","3304200100","Preparaciones para el maquillaje de los ojos."
"catalogos_fraccionarancelaria3195","3304300100","Preparaciones para manicuras o pedicuros."
"catalogos_fraccionarancelaria3196","3304910100","Polvos, incluidos los compactos."
"catalogos_fraccionarancelaria3197","3304990100","Leches cutáneas."
"catalogos_fraccionarancelaria3198","3304999900","Las demás."
"catalogos_fraccionarancelaria3199","3305100100","Champúes."
"catalogos_fraccionarancelaria3200","3305200100","Preparaciones para ondulación o desrizado permanentes."
"catalogos_fraccionarancelaria3201","3305300100","Lacas para el cabello."
"catalogos_fraccionarancelaria3202","3305909900","Las demás."
"catalogos_fraccionarancelaria3203","3306100100","Dentífricos."
"catalogos_fraccionarancelaria3204","3306200201","De filamento de nailon."
"catalogos_fraccionarancelaria3205","3306200299","Los demás."
"catalogos_fraccionarancelaria3206","3306909900","Los demás."
"catalogos_fraccionarancelaria3207","3307100100","Preparaciones para afeitar o para antes o después del afeitado."
"catalogos_fraccionarancelaria3208","3307200100","Desodorantes corporales y antitraspirantes."
"catalogos_fraccionarancelaria3209","3307300100","Sales perfumadas y demás preparaciones para el baño."
"catalogos_fraccionarancelaria3210","3307410100","""Agarbatti"" y demás preparaciones odoríferas que actúan por combustión."
"catalogos_fraccionarancelaria3211","3307499900","Las demás."
"catalogos_fraccionarancelaria3212","3307909900","Los demás."
"catalogos_fraccionarancelaria3213","3401110100","De tocador (incluso los medicinales)."
"catalogos_fraccionarancelaria3214","3401199900","Los demás."
"catalogos_fraccionarancelaria3215","3401200100","Jabón en otras formas."
"catalogos_fraccionarancelaria3216","3401300100","Productos y preparaciones orgánicos tensoactivos para el lavado de la piel, líquidos o en crema, acondicionados para la venta al por menor, aunque contengan jabón."
"catalogos_fraccionarancelaria3217","3402110200","Sulfonatos sódicos de octenos y de isooctenos."
"catalogos_fraccionarancelaria3218","3402119901","Sulfonatos sódicos de los hidrocarburos."
"catalogos_fraccionarancelaria3219","3402119902","Lauril di o tri glicoleter sulfato de sodio al 70% de sólidos."
"catalogos_fraccionarancelaria3220","3402119999","Los demás."
"catalogos_fraccionarancelaria3221","3402120300","Dimetil amidas de los ácidos grasos del tall-oil."
"catalogos_fraccionarancelaria3222","3402129901","Sales cuaternarias de amonio, provenientes de ácidos grasos."
"catalogos_fraccionarancelaria3223","3402129999","Los demás."
"catalogos_fraccionarancelaria3224","3402130100","Productos de la condensación del óxido de etileno o del óxido de propileno con alquilfenoles o alcoholes grasos."
"catalogos_fraccionarancelaria3225","3402130200","Polisorbato (Ésteres grasos de sorbitán polioxietilado)."
"catalogos_fraccionarancelaria3226","3402130300","Poliéter Polisiloxano."
"catalogos_fraccionarancelaria3227","3402139900","Los demás."
"catalogos_fraccionarancelaria3228","3402199900","Los demás."
"catalogos_fraccionarancelaria3229","3402200100","Preparaciones a base de N-metil-N-oleoil-taurato de sodio, oleato de sodio y cloruro de sodio."
"catalogos_fraccionarancelaria3230","3402200200","Preparación que contenga aceite de ricino, un solvente aromático y un máximo de 80% de aceite de ricino sulfonado."
"catalogos_fraccionarancelaria3231","3402200300","Preparaciones   tensoactivas   a   base  de   lauril   sulfato  de   amonio,   de  monoetanolamina,   de trietanolamina, de potasio o de sodio; lauril éter sulfatos de amonio o sodio."
"catalogos_fraccionarancelaria3232","3402200400","Mezclas  (limpiadoras,  humectantes  o  emulsificantes)  o  preparaciones  de  productos  orgánicos sulfonados, adicionadas de carbonatos, hidróxido o fosfatos de potasio o de sodio."
"catalogos_fraccionarancelaria3233","3402200500","Tableta  limpiadora  que  contenga  papaína  estabilizada  en  lactosa,  con  clorhidrato  de  cisteina, edetato disódico y polietilenglicol."
"catalogos_fraccionarancelaria3234","3402209900","Los demás."
"catalogos_fraccionarancelaria3235","3402900100","Preparaciones a base de nonanoil oxibencen sulfonato."
"catalogos_fraccionarancelaria3236","3402900200","Composiciones   constituidas   por   polialquifenol-   formaldehído   oxietilado   y/o   polioxipropileno oxietilado, aunque contengan solventes orgánicos, para la fabricación de desmulsificantes para la industria petrolera."
"catalogos_fraccionarancelaria3237","3402909900","Las demás."
"catalogos_fraccionarancelaria3238","3403110100","Preparaciones para el tratamiento de materias textiles, cueros y pieles, peletería u otras materias."
"catalogos_fraccionarancelaria3239","3403190100","Preparación a base de sulfonatos sódicos de los hidrocarburos clorados."
"catalogos_fraccionarancelaria3240","3403199900","Las demás."
"catalogos_fraccionarancelaria3241","3403910100","Preparaciones para el tratamiento de materias textiles, cueros y pieles, peletería u otras materias."
"catalogos_fraccionarancelaria3242","3403999900","Las demás."
"catalogos_fraccionarancelaria3243","3404200100","De poli(oxietileno) (polietilenglicol)."
"catalogos_fraccionarancelaria3244","3404900100","Ceras polietilénicas."
"catalogos_fraccionarancelaria3245","3404900200","De lignito modificado químicamente."
"catalogos_fraccionarancelaria3246","3404909900","Las demás."
"catalogos_fraccionarancelaria3247","3405100100","Betunes, cremas y preparaciones similares para el calzado o para cueros y pieles."
"catalogos_fraccionarancelaria3248","3405200200","Encáusticos  y preparaciones  similares  para  la conservación  de  muebles  de madera,  parqués  u otras manufacturas de madera."
"catalogos_fraccionarancelaria3249","3405300100","Abrillantadores  (lustres)  y  preparaciones  similares  para  carrocerías,  excepto  las  preparaciones para lustrar metal."
"catalogos_fraccionarancelaria3250","3405400100","Pastas, polvos y demás preparaciones para fregar."
"catalogos_fraccionarancelaria3251","3405900100","Lustres para metal."
"catalogos_fraccionarancelaria3252","3405909900","Las demás."
"catalogos_fraccionarancelaria3253","3406000100","Velas, cirios y artículos similares."
"catalogos_fraccionarancelaria3254","3407000300","Estuco o yeso preparado en polvo o en pasta para trabajos dentales."
"catalogos_fraccionarancelaria3255","3407000400","Conjunto  para  impresiones  dentales,  conteniendo  principalmente  una  pasta  a  base  de  hule  o materias plásticas artificiales o sintéticas, un acelerador y un adhesivo, acondicionados para su venta al por menor."
"catalogos_fraccionarancelaria3256","3407000501","Preparaciones denominadas ""ceras para odontología"", a base de caucho o gutapercha."
"catalogos_fraccionarancelaria3257","3407000502","Preparaciones denominadas ""ceras para odontología"", excepto lo comprendido en el número de identificación comercial 3407.00.05.01."
"catalogos_fraccionarancelaria3258","3407009900","Los demás."
"catalogos_fraccionarancelaria3259","3501100100","Caseína."
"catalogos_fraccionarancelaria3260","3501900100","Colas de caseína."
"catalogos_fraccionarancelaria3261","3501900300","Carboximetil caseina, grado fotográfico, en solución."
"catalogos_fraccionarancelaria3262","3501909901","Caseinatos."
"catalogos_fraccionarancelaria3263","3501909999","Los demás."
"catalogos_fraccionarancelaria3264","3502110100","Seca."
"catalogos_fraccionarancelaria3265","3502199900","Las demás."
"catalogos_fraccionarancelaria3266","3502200100","Lactoalbúmina, incluidos los concentrados de dos o más proteínas del lactosuero."
"catalogos_fraccionarancelaria3267","3502909900","Los demás."
"catalogos_fraccionarancelaria3268","3503000100","Gelatina, excepto de grado fotográfico y farmacéutico."
"catalogos_fraccionarancelaria3269","3503009901","Colas de huesos o de pieles."
"catalogos_fraccionarancelaria3270","3503009902","Gelatina grado farmacéutico."
"catalogos_fraccionarancelaria3271","3503009999","Los demás."
"catalogos_fraccionarancelaria3272","3504000701","Peptonas."
"catalogos_fraccionarancelaria3273","3504000702","Aislados de proteína de soja (soya)."
"catalogos_fraccionarancelaria3274","3504000799","Los demás."
"catalogos_fraccionarancelaria3275","3505100100","Dextrina y demás almidones y féculas modificados."
"catalogos_fraccionarancelaria3276","3505200100","Colas."
"catalogos_fraccionarancelaria3277","3506100200","Adhesivos a base de dextrinas, almidones y féculas."
"catalogos_fraccionarancelaria3278","3506109901","Adhesivos a base de resinas plásticas."
"catalogos_fraccionarancelaria3279","3506109999","Los demás."
"catalogos_fraccionarancelaria3280","3506910100","Adhesivos anaeróbicos."
"catalogos_fraccionarancelaria3281","3506919901","Adhesivos a base de cianoacrilatos."
"catalogos_fraccionarancelaria3282","3506919902","Adhesivos  termofusibles  al  100%  de  concentrado  de  sólidos,  a  base  de  materias  plásticas artificiales, ceras y otros componentes."
"catalogos_fraccionarancelaria3283","3506919903","Adhesivos a base de resinas de poliuretano, del tipo poliol, poliéster o poliéter modificados con isocianatos, con o sin cargas y pigmentos."
"catalogos_fraccionarancelaria3284","3506919999","Los demás."
"catalogos_fraccionarancelaria3285","3506990100","Pegamentos a base de nitrocelulosa."
"catalogos_fraccionarancelaria3286","3506999900","Los demás."
"catalogos_fraccionarancelaria3287","3507100100","Cuajo y sus concentrados."
"catalogos_fraccionarancelaria3288","3507900200","Papaína."
"catalogos_fraccionarancelaria3289","3507900600","Diastasa de Aspergillus oryzae."
"catalogos_fraccionarancelaria3290","3507900800","Amilasas; proteasas; mezcla de proteasas y amilasas."
"catalogos_fraccionarancelaria3291","3507900900","Preparación de enzima proteolítica obtenida por fermentación sumergida del Bacillus subtilis y/o
Bacillus licheniformis."
"catalogos_fraccionarancelaria3292","3507909901","Pancreatina."
"catalogos_fraccionarancelaria3293","3507909902","Celulasa; peptidasas; fibrinucleasa."
"catalogos_fraccionarancelaria3294","3507909903","Mio-Inositol-hexafosfato-fosfohidrolasa."
"catalogos_fraccionarancelaria3295","3507909999","Las demás."
"catalogos_fraccionarancelaria3296","3601000100","Pólvora sin humo o negra."
"catalogos_fraccionarancelaria3297","3601009900","Las demás."
"catalogos_fraccionarancelaria3298","3602000200","Dinamita gelatina."
"catalogos_fraccionarancelaria3299","3602000300","Cartuchos  o  cápsulas  microgeneradores  de  gas  utilizados  en  la  fabricación  de  cinturones  de seguridad para vehículos automotores."
"catalogos_fraccionarancelaria3300","3602009900","Los demás."
"catalogos_fraccionarancelaria3301","3603000100","Mechas de seguridad para minas con núcleo de pólvora negra."
"catalogos_fraccionarancelaria3302","3603000200","Cordones detonadores."
"catalogos_fraccionarancelaria3303","3603009900","Los demás."
"catalogos_fraccionarancelaria3304","3604100100","Artículos para fuegos artificiales."
"catalogos_fraccionarancelaria3305","3604900100","Los demás."
"catalogos_fraccionarancelaria3306","3605000100","Fósforos (cerillas), excepto los artículos de pirotecnia de la partida 36.04."
"catalogos_fraccionarancelaria3307","3606100100","Combustibles líquidos y gases combustibles licuados en recipientes de los tipos utilizados para cargar o recargar encendedores o mecheros, de capacidad inferior o igual a 300 cm3."
"catalogos_fraccionarancelaria3308","3606900100","Combustibles sólidos a base de alcohol."
"catalogos_fraccionarancelaria3309","3606900200","Ferrocerio y otras aleaciones pirofóricas, cualquiera que sea su forma de presentación."
"catalogos_fraccionarancelaria3310","3606909900","Los demás."
"catalogos_fraccionarancelaria3311","3701100200","Placas fotográficas para radiografías, de uso dental."
"catalogos_fraccionarancelaria3312","3701109901","Placas fotográficas para radiografías."
"catalogos_fraccionarancelaria3313","3701109999","Los demás."
"catalogos_fraccionarancelaria3314","3701200100","Películas autorrevelables."
"catalogos_fraccionarancelaria3315","3701300100","Las demás placas y películas planas en las que por lo menos un lado sea superior a 255 mm."
"catalogos_fraccionarancelaria3316","3701910100","Para fotografía en colores (policroma)."
"catalogos_fraccionarancelaria3317","3701990100","Placas secas para fotografía."
"catalogos_fraccionarancelaria3318","3701990400","Chapas sensibilizadas litoplanográficas trimetálicas para fotolitografía (offset)."
"catalogos_fraccionarancelaria3319","3701999901","Chapas  de  aluminio  recubiertas  con  materiales  sensibles  a  la  luz  o  tratadas,  para  fotolitografía (offset)."
"catalogos_fraccionarancelaria3320","3701999902","Planchas litográficas fotopolímeras."
"catalogos_fraccionarancelaria3321","3701999999","Las demás."
"catalogos_fraccionarancelaria3322","3702100100","En rollos maestros para radiografías, con peso unitario superior o igual a 100 kg."
"catalogos_fraccionarancelaria3323","3702109900","Las demás."
"catalogos_fraccionarancelaria3324","3702310200","Para fotografía en colores (policroma)."
"catalogos_fraccionarancelaria3325","3702320100","Películas autorrevelables."
"catalogos_fraccionarancelaria3326","3702329900","Las demás."
"catalogos_fraccionarancelaria3327","3702399900","Las demás."
"catalogos_fraccionarancelaria3328","3702410100","En  rollos  maestros,  para  cinematógrafos  o  exposiciones  fotográficas,  sin  movimiento,  con  peso unitario igual o superior a 100 kg."
"catalogos_fraccionarancelaria3329","3702419900","Las demás."
"catalogos_fraccionarancelaria3330","3702420100","En rollos maestros, para exposiciones fotográficas, no perforadas, de uso en las artes gráficas, con peso unitario igual o superior a 100 kg."
"catalogos_fraccionarancelaria3331","3702420200","En  rollos  maestros,  para  cinematógrafos  o  exposiciones  fotográficas,  sin  movimiento,  con  peso unitario igual o superior a 100 kg."
"catalogos_fraccionarancelaria3332","3702429900","Las demás."
"catalogos_fraccionarancelaria3333","3702430100","De anchura superior a 610 mm y de longitud inferior o igual a 200 m."
"catalogos_fraccionarancelaria3334","3702440100","Películas autorrevelables."
"catalogos_fraccionarancelaria3335","3702449900","Las demás."
"catalogos_fraccionarancelaria3336","3702520100","De anchura inferior o igual a 16 mm."
"catalogos_fraccionarancelaria3337","3702530100","De anchura superior a 16 mm pero inferior o igual a 35 mm y longitud inferior o igual a 30 m, para diapositivas."
"catalogos_fraccionarancelaria3338","3702540100","De  anchura  superior  a  16  mm  pero  inferior o  igual a  35  mm  y longitud  inferior o  igual a  30 m, excepto para diapositivas."
"catalogos_fraccionarancelaria3339","3702550100","De anchura superior a 16 mm pero inferior o igual a 35 mm y longitud superior a 30 m."
"catalogos_fraccionarancelaria3340","3702560100","De anchura superior a 35 mm."
"catalogos_fraccionarancelaria3341","3702960100","De anchura inferior o igual a 35 mm y longitud inferior o igual a 30 m."
"catalogos_fraccionarancelaria3342","3702970100","De anchura inferior o igual a 35 mm y longitud superior a 30 m."
"catalogos_fraccionarancelaria3343","3702980100","De anchura superior a 35 mm."
"catalogos_fraccionarancelaria3344","3703100200","En rollos de anchura superior a 610 mm."
"catalogos_fraccionarancelaria3345","3703200100","Papeles para fotografía."
"catalogos_fraccionarancelaria3346","3703209900","Los demás."
"catalogos_fraccionarancelaria3347","3703900100","Papel positivo a base de óxido de cinc y colorante estabilizador."
"catalogos_fraccionarancelaria3348","3703900200","Papeles para fotografía."
"catalogos_fraccionarancelaria3349","3703900300","Papel para heliografía, excepto al ferrocianuro."
"catalogos_fraccionarancelaria3350","3703909900","Los demás."
"catalogos_fraccionarancelaria3351","3704000100","Placas, películas, papel, cartón y textiles, fotográficos, impresionados pero sin revelar."
"catalogos_fraccionarancelaria3352","3705000100","Placas  y películas  ortocromáticas  reveladas,  para  la  impresión  de  periódicos,  libros,  fascículos, revistas, material didáctico o colecciones."
"catalogos_fraccionarancelaria3353","3705000200","Películas  fotográficas  en  rollos,  con  anchura  de  35  mm,  sin  sonido,  con  reproducción  de documentos,  de  textos  o  de  ilustraciones,  técnicas  o  científicas,  para  enseñanza  o  con  fines
culturales,  reconocibles  como  concebidas  exclusivamente  para  instituciones  de  educación  o similares."
"catalogos_fraccionarancelaria3354","3705000300","Microfilmes."
"catalogos_fraccionarancelaria3355","3705000400","Para la reproducción offset, excepto lo comprendido en la fracción arancelaria 3705.00.01."
"catalogos_fraccionarancelaria3356","3705009900","Las demás."
"catalogos_fraccionarancelaria3357","3706100100","Positivas."
"catalogos_fraccionarancelaria3358","3706100200","Negativas, incluso las denominadas internegativas o ""master""."
"catalogos_fraccionarancelaria3359","3706900100","Películas cinematográficas educativas, aun cuando tengan impresión directa de sonido."
"catalogos_fraccionarancelaria3360","3706909900","Las demás."
"catalogos_fraccionarancelaria3361","3707100100","Emulsiones para sensibilizar superficies."
